date,Mkt-RF,RF,SmallGrowth
198701,12.43,0.42,11.38
198702,4.36,0.43,10.95
198703,1.9,0.47,3.73
198704,-2.14,0.44,-2.64
198705,0.13,0.38,0.12
198706,3.89,0.48,1.5
198707,3.96,0.46,1.77
198708,3.24,0.47,-0.11
198709,-2.53,0.45,-2.48
198710,-23.14,0.6,-32.71
198711,-7.58,0.35,-7.88
198712,6.64,0.39,-0.16
198801,4.2,0.29,10.53
198802,4.71,0.46,5.53
198803,-2.1,0.44,4.32
198804,0.64,0.46,0.74
198805,-0.47,0.51,-3.35
198806,4.66,0.49,4.37
198807,-1.24,0.51,0.14
198808,-3.39,0.59,-3.39
198809,3.1,0.62,1.52
198810,1.15,0.61,-4.14
198811,-2.21,0.57,-6.02
198812,1.48,0.63,0.7
198901,6.06,0.55,6.76
198902,-2.25,0.61,0.4
198903,1.48,0.67,0.05
198904,4.15,0.67,1.77
198905,3.14,0.79,1.6
198906,-1.2,0.71,-3.23
198907,7.01,0.7,0.88
198908,1.47,0.74,1.18
198909,-0.8,0.65,1.01
198910,-3.61,0.68,-3.53
198911,1.09,0.69,-2.45
198912,1.22,0.61,-2.84
199001,-7.58,0.57,-5.16
199002,0.92,0.57,1.55
199003,1.77,0.64,3.45
199004,-3.52,0.69,-0.26
199005,8.21,0.68,6.31
199006,-1.05,0.63,2.15
199007,-1.62,0.68,-2.87
199008,-9.85,0.66,-15.37
199009,-5.98,0.6,-9.26
199010,-1.93,0.68,-7.11
199011,6,0.57,1.37
199012,2.35,0.6,-2.15
199101,4.39,0.52,8.26
199102,7.1,0.48,17.89
199103,2.45,0.44,10.37
199104,-0.2,0.53,6.44
199105,3.6,0.47,2.27
199106,-4.82,0.42,-4.93
199107,4.19,0.49,2.54
199108,2.22,0.46,3.28
199109,-1.56,0.46,2.62
199110,1.36,0.42,5.27
199111,-4.12,0.39,-0.02
199112,10.3,0.38,1.35
199201,-0.46,0.34,24.13
199202,1.06,0.28,5.13
199203,-2.71,0.34,-2.41
199204,1.02,0.32,-8.38
199205,0.36,0.28,-1.84
199206,-2.25,0.32,-8.98
199207,3.68,0.31,0.05
199208,-2.34,0.26,-4.14
199209,0.98,0.26,0.11
199210,0.87,0.23,0.99
199211,3.79,0.23,8.56
199212,1.5,0.28,2.63
199301,1.03,0.23,7.67
199302,0.32,0.22,-4.83
199303,2.26,0.25,1.16
199304,-2.78,0.24,-2.73
199305,2.74,0.22,4.79
199306,0.29,0.25,1.71
199307,-0.32,0.24,-1.04
199308,3.7,0.25,5.02
199309,-0.2,0.26,2.27
199310,1.59,0.22,4.86
199311,-2.01,0.25,-3.79
199312,1.72,0.23,-1.01
199401,2.9,0.25,4.7
199402,-2.63,0.21,-2.93
199403,-4.85,0.27,-7.07
199404,0.68,0.27,-5.05
199405,0.62,0.32,-2.12
199406,-3.1,0.31,-6.03
199407,2.78,0.28,0.26
199408,3.89,0.37,1.93
199409,-2.21,0.37,1.23
199410,1.07,0.38,-1.82
199411,-4.09,0.37,-5.21
199412,0.82,0.44,-6.13
199501,1.62,0.42,5.08
199502,3.56,0.4,1.72
199503,2.24,0.46,1.14
199504,2.06,0.44,0.97
199505,2.86,0.54,1.16
199506,2.65,0.47,8.19
199507,3.63,0.45,6.12
199508,0.46,0.47,5.21
199509,3.21,0.43,3.62
199510,-1.6,0.47,-6.47
199511,3.85,0.42,-0.83
199512,1.03,0.49,-1.04
199601,2.38,0.43,4.46
199602,1.24,0.39,4.21
199603,0.7,0.39,4
199604,2.09,0.46,6.18
199605,2.26,0.42,10
199606,-1.23,0.4,-6.21
199607,-5.83,0.45,-14.21
199608,2.84,0.41,3.57
199609,4.86,0.44,0.89
199610,0.95,0.42,-7.58
199611,6.15,0.41,-1.55
199612,-1.6,0.46,-4.86
199701,4.9,0.45,11.33
199702,-0.5,0.39,-4.96
199703,-4.92,0.43,-9.53
199704,3.81,0.43,-5.34
199705,6.67,0.49,7.18
199706,4.04,0.37,2.07
199707,7.22,0.43,1.93
199708,-4.04,0.41,5.64
199709,5.41,0.44,10.41
199710,-3.86,0.42,-3.69
199711,2.65,0.39,-6.1
199712,1.3,0.48,-10.85
199801,0.02,0.43,3.87
199802,6.94,0.39,4.12
199803,4.74,0.39,4.6
199804,0.66,0.43,2.95
199805,-2.97,0.4,-5.74
199806,2.78,0.41,-5.16
199807,-2.74,0.4,-6.56
199808,-16.21,0.43,-25.96
199809,5.92,0.46,3.98
199810,7.12,0.32,3.3
199811,5.89,0.31,14.11
199812,5.93,0.38,0.16
199901,3.5,0.35,15.62
199902,-4.16,0.35,-5.7
199903,3.36,0.43,-4.13
199904,4.54,0.37,6.33
199905,-2.41,0.34,3.42
199906,4.68,0.4,3.84
199907,-3.45,0.38,1.82
199908,-1.39,0.39,-4.63
199909,-2.67,0.39,0.38
199910,5.82,0.39,-1.21
199911,3.32,0.36,25.55
199912,7.94,0.44,19.41
200001,-4.37,0.41,17.77
200002,2.75,0.43,31.04
200003,4.88,0.47,-5.17
200004,-6.41,0.46,-23.16
200005,-4.4,0.5,-13.89
200006,4.76,0.4,15.12
200007,-2.19,0.48,-8.29
200008,7.09,0.5,7
200009,-5.62,0.51,-10.64
200010,-3.02,0.56,-12.85
200011,-10.76,0.51,-24.64
200012,1.54,0.5,-15.92
200101,3.41,0.54,56.97
200102,-10.32,0.39,-13.15
200103,-7.47,0.44,-13.66
200104,7.99,0.39,11.53
200105,0.74,0.32,11.42
200106,-2.03,0.28,-1.22
200107,-2.13,0.3,-8.02
200108,-6.21,0.31,-7.89
200109,-9.43,0.28,-17.49
200110,2.56,0.22,13.33
200111,7.71,0.17,6.9
200112,1.64,0.15,11.46
200201,-1.74,0.14,-1.89
200202,-2.3,0.13,-9.83
200203,4.34,0.13,5.53
200204,-5.11,0.15,-8.88
200205,-1.19,0.14,-8.85
200206,-7.16,0.13,-12.09
200207,-8.26,0.15,-15.27
200208,0.66,0.14,-0.26
200209,-10.14,0.14,-11.59
200210,7.35,0.14,8.14
200211,6.01,0.12,18.54
200212,-5.44,0.11,-10.71
200301,-2.44,0.1,2.69
200302,-1.63,0.09,-5.17
200303,0.93,0.1,2.85
200304,8.18,0.1,13.77
200305,6.26,0.09,26.36
200306,1.53,0.1,9.48
200307,2.24,0.07,8.67
200308,2.43,0.07,4.24
200309,-0.99,0.08,6.57
200310,5.96,0.07,6.42
200311,1.59,0.07,1.97
200312,4.47,0.08,1.61
200401,2.23,0.07,10.88
200402,1.49,0.06,-0.35
200403,-1.16,0.09,-1.77
200404,-2.5,0.08,-3.38
200405,1.35,0.06,-3.35
200406,2.08,0.08,-0.19
200407,-3.87,0.1,-12.07
200408,0.16,0.11,-2.4
200409,1.94,0.11,4.41
200410,1.67,0.11,1.77
200411,4.67,0.15,10.92
200412,3.36,0.16,9.33
200501,-2.82,0.16,-5.86
200502,2.11,0.16,-0.91
200503,-1.9,0.21,-6.84
200504,-2.73,0.21,-7.42
200505,3.56,0.24,6.6
200506,0.92,0.23,2.59
200507,4.09,0.24,8.25
200508,-0.89,0.3,-2.82
200509,0.77,0.29,0.97
200510,-2.35,0.27,-5.12
200511,3.73,0.31,2.87
200512,0.03,0.32,1.32
200601,3.65,0.35,11.12
200602,-0.5,0.34,1.07
200603,1.54,0.37,4.43
200604,0.94,0.36,-1.39
200605,-3.53,0.43,-8.87
200606,-0.44,0.4,-1.87
200607,-0.59,0.4,-5.61
200608,2.09,0.42,3.23
200609,1.53,0.41,-1.32
200610,3.3,0.41,6.61
200611,1.95,0.42,2.06
200612,0.68,0.4,0.58
200701,1.5,0.44,3.4
200702,-1.78,0.38,0.49
200703,0.87,0.43,0.4
200704,3.55,0.44,3.91
200705,3.48,0.41,0.23
200706,-1.87,0.4,-0.37
200707,-3.57,0.4,-5.09
200708,0.75,0.42,-1.83
200709,3.77,0.32,2.26
200710,2.26,0.32,3.21
200711,-5.27,0.34,-10.34
200712,-0.7,0.27,-2.42
200801,-6.44,0.21,-7.22
200802,-2.33,0.13,-3.91
200803,-1.21,0.17,-4.41
200804,4.94,0.18,1.59
200805,2.21,0.18,4.83
200806,-8.03,0.17,-7.84
200807,-1.47,0.15,1.6
200808,0.99,0.13,-0.35
200809,-9.97,0.15,-15.3
200810,-18.55,0.08,-23.95
200811,-8.56,0.03,-14.79
200812,2.06,0.09,3.55
200901,-7.75,0,2.39
200902,-10.12,0.01,-10.44
200903,8.75,0.02,14.23
200904,11.04,0.01,21.72
200905,6.73,0,9.4
200906,-0.28,0.01,9.87
200907,8.23,0.01,8.54
200908,3.18,0.01,6.06
200909,4.52,0.01,7.69
200910,-2.84,0,-9.31
200911,5.74,0,-0.77
200912,2.91,0.01,6.06
201001,-3.71,0,-2.72
201002,3.53,0,3.13
201003,6.44,0.01,5.68
201004,2.02,0,8.44
201005,-8,0.01,-9.64
201006,-5.21,0.01,-7.77
201007,7.1,0.01,5.54
201008,-4.4,0.01,-7.37
201009,9.24,0.01,12.01
201010,3.88,0.01,5.69
201011,0.56,0.01,0.47
201012,6.77,0.01,11.28
201101,2.01,0.01,-0.38
201102,3.85,0.01,1.43
201103,0.28,0.01,1.92
201104,2.82,0,1.03
